Rush,Rush,Mood,Mood,Social,Social,Energy,Energy,Focus,Focus,Anxiety,Anxiety,Impair,Impair,Change,Change,Degree,Degree,Other,Other
6,Overwhelming,6,Autopilot,6,Autopilot,6,Ultra High,6,Ultra High,6,Doomed,6,Dangerous,6,Ultra High,6,Ultra High,6,Ultra High
5,Extreme,5,Euphoric,5,Disinhibited,5,Extremely High,5,Extremely High,5,Severe,5,Severe,5,Extremely High,5,Extremely High,5,Extremely High
4.5,Very High,4.5,Very High,4.5,Very High,4.5,Very High,4.5,Very High,4.5,Very High,4.5,Very High,4.5,Very High,4.5,Very High,4.5,Very High
4,Intense/High,4,Great/Obvious,4,Natural/Outgoing,4,Energetic/Active,4,Obsessed/Fixated,4,High/Paranoid,4,Controlling,4,,4,,4,
3.25,High/Strong,,High/Clear,,High/Social,,High/Active,,High/Focused,,High/Anxiety,,High/Impaired,,,,,,
2.75,Mid/Present,2.75,Mid/Fair,2.75,Mid/Capable,2.75,Mid/Alert,2.75,Mid/Alert,2.75,Mid/Noticed,2.75,Mid/Noticed,2.75,,,,,
2.25,Low-Mid,2.25,Low-Mid,2.25,Low-Mid,2.25,Low-Mid,2.25,Low-Mid,2.25,Low-Mid,2.25,Low-Mid,2.25,,2.25,,2.25,
1.5,Low/Slight,1.5,Low/Flat,1.5,Low/Forced,1.5,Low/Funcitonal,1.5,Low/Funcitonal,1.5,Low/Minor,1.5,Low/Minor,1.5,Low,1.5,Low,1.5,Low
0.75,Very Low,0.75,Very Low,0.75,Very Low,0.75,Very Low,0.75,Very Low,0.75,Very Low,0.75,Very Low,0.75,Very Low,0.75,Very Low,0.75,Very Low
0.25,Minimal,0.25,Minimal,0.25,Minimal,0.25,Minimal,0.25,Minimal,0.25,Minimal,0.25,Minimal,0.25,Minimal,0.25,Minimal,0.25,Minimal
0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
0.5,+,0.5,+,0.5,+,0.5,+,0.5,+,0.5,+,0.5,+,0.5,+,0.5,+,0.5,+
